Name,奶茶,香蕉,披薩,血,芋頭,鳳梨,香菜,木耳,珍珠,醋飯,生魚片,豆腐,史萊姆,醬油,可樂,泡菜,麵,起司,拉麵,火鍋,米,豬血糕,麵包,咖哩,番茄,壽司,可頌,奶蓋,酒,紅酒,紅肉,烤肉,啤酒,麻辣鴨血,麻辣九宮格鍋,咖啡,臭豆腐,奶油,港式波蘿,絲襪奶茶,小熊維尼,果凍,布丁,雞腿,蛋,GGJ,憤怒的義大利人,珍珠奶茶,珍珠奶茶披薩,香菜披薩,工程師,鳳梨罐頭,豬血糕披薩,印度烤餅,佛跳牆,很多料的那種仙草,相撲選手,熊貓,初代米奇,兩杯奶茶,交流交流,台灣黑熊,蚵仔麵線,酸菜魚,烏龍麵,焗烤麵,壽喜燒,泡菜鍋,炒麵麵包,咖哩飯,義大利麵,清酒,印度拉茶
番茄,,,,,,,,,,,,,,,,,義大利麵,,,,,,披薩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
壽司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可頌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奶蓋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
酒,,,,,,,,,,,,,,清酒,,,,紅酒,,,,,,,,,,,,,,啤酒,,,,,,,,,,,,麻油雞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
紅酒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
紅肉,,,,,,,,,,,,,,,,,,,,,滷肉飯,,,,,,,,,,,,烤肉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
烤肉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,啤酒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
啤酒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,烤肉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麻辣鴨血,,,,,,,,,,,,,,,,,,,,麻辣九宮格鍋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麻辣九宮格鍋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,熊貓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
咖啡,絲襪奶茶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臭豆腐,,,,,,,,,,,,,,,,,,,,,,,台灣黑熊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奶油,,,,,,,,,,,,,,,,,,,,,,,港式波蘿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
港式波蘿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
絲襪奶茶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小熊維尼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小熊維尼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,初代米奇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果凍,,,,,,,,,,,,,,,,,,,布丁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
布丁,布丁奶茶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雞腿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,麻油雞,,,,,,,,,,,,,,,,油飯,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蛋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,油飯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GGJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
憤怒的義大利人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
珍珠奶茶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
珍珠奶茶披薩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
香菜披薩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工程師,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鳳梨罐頭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
豬血糕披薩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
印度烤餅,印度拉茶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佛跳牆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
很多料的那種仙草,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
相撲選手,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
熊貓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
初代米奇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
兩杯奶茶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交流交流,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台灣黑熊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蚵仔麵線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
酸菜魚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
烏龍麵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
焗烤麵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
壽喜燒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泡菜鍋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
炒麵麵包,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
咖哩飯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
義大利麵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
清酒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
印度拉茶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
